idAnime,name,type,episodes,status,idStudios,studios,idGenres,genres,score,idRanking,ranked
121767,Ranma ½ OVA,OVA,6,Finished Airing,abc1207,Studio Deen,D273,"['Action', 'Comedy', 'Romance', 'Ecchi']",7.73,111706,#1168
121878,Panty & Stocking with Garterbelt,TV,13,Finished Airing,abc1208,Gainax,D274,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",7.73,111807,#1166
121989,Monsters: Ippyaku Sanjou Hiryuu Jigoku,ONA,1,Finished Airing,abc1209,E&H Production,D275,[],7.73,111908,#1165
122100,Liang Bu Yi,ONA,24,Finished Airing,abc1210,Paper Plane Animation Studio,D276,"['Comedy', 'Romance']",7.73,112009,#1164
122211,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,Movie,1,Finished Airing,abc1211,Production I.G,D277,"['Action', 'Mystery', 'Sci-Fi']",7.73,112110,#1162
122322,Kageki Shoujo!!,TV,13,Finished Airing,abc1212,PINE JAM,D278,[],7.73,112211,#1161
122433,Free! Movie 3: Road to the World - Yume,Movie,1,Finished Airing,abc1213,Kyoto Animation,D279,[],7.73,112312,#1158
122544,Dragon Quest: Dai no Daibouken (2020),TV,100,Finished Airing,abc1214,Toei Animation,D280,"['Action', 'Adventure', 'Fantasy']",7.73,112413,#1157
122655,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,12,Finished Airing,abc1215,A-1 Pictures,D281,"['Action', 'Adventure', 'Fantasy']",7.71,112514,#1208
122766,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Special,1,Finished Airing,abc1216,Kyoto Animation,D282,"['Fantasy', 'Slice of Life']",7.71,112615,#1211
122877,Jinrui wa Suitai Shimashita,TV,12,Finished Airing,abc1217,AIC ASTA,D283,"['Adventure', 'Comedy', 'Fantasy']",7.71,112716,#1209
